2026-03-23 17:24:36.345 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:24:36.346 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:24:37.082 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:24:39.066 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:24:39.068 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:24:39.068 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:24:42.565 | INFO     | routes:run_crawler_with_subprocess:198 | 开始执行爬虫任务: 日本煤炉 [Dior]
2026-03-23 17:25:32.168 | INFO     | routes:run_crawler_with_subprocess:219 | 爬虫执行结果: 0
2026-03-23 17:25:32.170 | INFO     | routes:run_crawler_with_subprocess:220 | 爬虫输出: 爬虫开始执行...
进度: 0.00% (0/6) | 成功: 0 | 失败: 1 | 当前: None
进度: 16.67% (1/6) | 成功: 0 | 失败: 1 | 当前: 希少 80s vintage クリスチャンディオール イヤリング セット 限定
进度: 16.67% (1/6) | 成功: 1 | 失败: 1 | 当前: 希少 80s vintage クリスチャンディオール イヤリング セット 限定
进度: 33.33% (2/6) | 成功: 1 | 失败: 1 | 当前: Christian Dior クリスチャン ディオール イヤーアクセサリー クリップ式 ハートイヤリング ゴールド メタル レディース ヴィンテージ 美品
进度: 33.33% (2/6) | 成功: 2 | 失败: 1 | 当前: Christian Dior クリスチャン ディオール イヤーアクセサリー クリップ式 ハートイヤリング ゴールド メタル レディース ヴィンテージ 美品
进度: 50.00% (3/6) | 成功: 2 | 失败: 1 | 当前: 606【希少】Christian Dior イヤリングセット 限定品 80s
进度: 50.00% (3/6) | 成功: 3 | 失败: 1 | 当前: 606【希少】Christian Dior イヤリングセット 限定品 80s
进度: 66.67% (4/6) | 成功: 3 | 失败: 1 | 当前: Dior ディオール CD オーバル ラインストーン イヤリング346
进度: 66.67% (4/6) | 成功: 4 | 失败: 1 | 当前: Dior ディオール CD オーバル ラインストーン イヤリング346
进度: 83.33% (5/6) | 成功: 4 | 失败: 1 | 当前: Dior ディオール リボン ラインストーンイヤリング348
进度: 83.33% (5/6) | 成功: 5 | 失败: 1 | 当前: Dior ディオール リボン ラインストーンイヤリング348
进度: 100.00% (6/6) | 成功: 5 | 失败: 1 | 当前: ヴィンテージ ディオール ツイストフープイヤリング ゴールド 347
爬虫执行成功: 成功获取 5 条数据

2026-03-23 17:25:32.171 | INFO     | routes:run_crawler_with_subprocess:223 | 爬虫任务完成: 日本煤炉 [Dior]
2026-03-23 17:26:10.007 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:26:11.012 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:26:11.013 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:26:11.013 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:26:14.055 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:26:14.754 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:26:14.756 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:26:14.756 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:28:01.998 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:28:02.003 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:28:02.004 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:28:05.818 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:28:05.819 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:28:05.820 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
